Environment and Climate Change Canada,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Values for August - 2019,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,
Stn_Name,Station Name,,,,,,,,,,,,,,,,,,,,,,,
Lat,"Latitude (North + , degrees)",,,,,,,,,,,,,,,,,,,,,,,
Long,"Longitude (West - , degrees)",,,,,,,,,,,,,,,,,,,,,,,
Prov,Province,,,,,,,,,,,,,,,,,,,,,,,
Tm,Mean Temperature (°„C),,,,,,,,,,,,,,,,,,,,,,,
DwTm,Days without Valid Mean Temperature,,,,,,,,,,,,,,,,,,,,,,,
D,Mean Temperature difference from Normal (1981-2010) (°„C),,,,,,,,,,,,,,,,,,,,,,,
Tx,Highest Monthly Maximum Temperature (°„C),,,,,,,,,,,,,,,,,,,,,,,
DwTx,Days without Valid Maximum Temperature,,,,,,,,,,,,,,,,,,,,,,,
Tn,Lowest Monthly Minimum Temperature (°„C),,,,,,,,,,,,,,,,,,,,,,,
DwTn,Days without Valid Minimum Temperature,,,,,,,,,,,,,,,,,,,,,,,
S,Snowfall (cm),,,,,,,,,,,,,,,,,,,,,,,
DwS,Days without Valid Snowfall,,,,,,,,,,,,,,,,,,,,,,,
S%N,Percent of Normal (1981-2010) Snowfall,,,,,,,,,,,,,,,,,,,,,,,
P,Total Precipitation (mm),,,,,,,,,,,,,,,,,,,,,,,
DwP,Days without Valid Precipitation,,,,,,,,,,,,,,,,,,,,,,,
P%N,Percent of Normal (1981-2010) Precipitation,,,,,,,,,,,,,,,,,,,,,,,
S_G,Snow on the ground at the end of the month (cm),,,,,,,,,,,,,,,,,,,,,,,
Pd,Number of days with Precipitation 1.0 mm or more,,,,,,,,,,,,,,,,,,,,,,,
BS,Bright Sunshine (hours),,,,,,,,,,,,,,,,,,,,,,,
DwBS,Days without Valid Bright Sunshine,,,,,,,,,,,,,,,,,,,,,,,
BS%,Percent of Normal (1981-2010) Bright Sunshine,,,,,,,,,,,,,,,,,,,,,,,
HDD,Degree Days below 18 °„C,,,,,,,,,,,,,,,,,,,,,,,
CDD,Degree Days above 18 °„C,,,,,,,,,,,,,,,,,,,,,,,
Clim_ID,Climate Identifier,,,,,,,,,,,,,,,,,,,,,,,
NA,Not Available,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Clim_ID
CHEMAINUS,48.935,-123.742,BC,19.8,0,NA,29.5,0,13,0,0,0,NA,20.3,0,NA,0,5,,,NA,2.4,59.2,1011500
DISCOVERY ISLAND,48.425,-123.226,BC,15.7,0,NA,25.4,0,11.1,0,,,NA,,,NA,,,,,NA,74,3.8,1012475
ESQUIMALT HARBOUR,48.432,-123.439,BC,16.7,0,NA,24.5,0,11.8,0,,,NA,16.6,0,NA,,5,,,NA,42.4,2.2,1012710
GALIANO NORTH,48.985,-123.573,BC,19.4,13,NA,29,13,10,13,0,13,NA,13.8,13,NA,0,3,,,NA,3.2,27.8,10130MN
MALAHAT,48.575,-123.53,BC,19,0,NA,28.8,0,11.4,0,,,NA,,,NA,,,,,NA,14.6,45.1,1014820
METCHOSIN,48.374,-123.561,BC,,,NA,,,,,0,19,NA,5.4,19,NA,,2,,,NA,,,1015105
NORTH COWICHAN,48.824,-123.718,BC,,,NA,,,,,0,0,NA,11.2,0,37,0,4,,,NA,,,1015628
NORTH COWICHAN,48.824,-123.719,BC,19.1,0,NA,31.4,0,8.3,0,,,NA,8.8,0,NA,,4,,,NA,8.6,41.8,1015630
